,Highest,Open,Close
0,16480.0,16291.85,16320.7
0,16326.99,16320.04,16070.45
0,16180.0,16069.56,15957.0
0,16880.0,15957.0,16713.57
0,17858.82,16713.08,17659.38
0,18476.93,17659.38,17776.12
0,18179.8,17777.75,17802.82
0,18815.22,17802.81,18655.67
0,18965.9,18655.66,18703.8
0,18750.0,18703.8,18414.43
0,18766.0,18413.88,18368.0
0,19418.97,18368.01,19160.01
0,19484.21,19160.0,18719.11
0,18915.03,18718.83,17149.47
0,17457.62,17149.47,17139.52
0,17880.49,17139.53,17719.85
0,18360.05,17719.84,18184.99
0,19863.16,18185.0,19695.87
0,19888.0,19695.87,18764.96
0,19342.0,18764.96,19204.09
0,19598.0,19204.08,19421.9
0,19527.0,19422.34,18650.52
0,19177.0,18650.51,19147.66
0,19420.0,19147.66,19359.4
0,19420.91,19358.67,19166.9
0,19294.84,19166.9,18324.11
0,18639.57,18324.11,18541.28
0,18557.32,18541.29,18254.63
0,18292.73,18254.81,18036.53
0,18948.66,18036.53,18808.69
0,19411.0,18808.69,19174.99
0,19349.0,19174.99,19273.14
0,19570.0,19273.69,19426.43
0,21560.0,19426.43,21335.52
0,23800.0,21335.52,22797.16
0,23285.18,22797.15,23107.39
0,24171.47,23107.39,23821.61
0,24295.0,23821.6,23455.52
0,24102.77,23455.54,22719.71
0,23837.1,22719.88,23810.79
0,24100.0,23810.79,23232.76
0,23794.43,23232.39,23729.2
0,24789.86,23728.99,24712.47
0,26867.03,24712.47,26493.39
0,28422.0,26493.4,26281.66
0,27500.0,26281.54,27079.41
0,27410.0,27079.42,27385.0
0,28996.0,27385.0,28875.54
0,29300.0,28875.55,28923.63
0,29600.0,28923.63,29331.69
0,33300.0,29331.7,32178.33
0,34778.11,32176.45,33000.05
0,33600.0,33000.05,31988.71
0,34360.0,31989.75,33949.53
0,36939.21,33949.53,36769.36
0,40365.0,36769.36,39432.28
0,41950.0,39432.48,40582.81
0,41380.0,40586.96,40088.22
0,41350.0,40088.22,38150.02
0,38264.74,38150.02,35404.47
0,36628.0,35410.37,34051.24
0,37850.0,34049.15,37371.38
0,40100.0,37371.38,39144.5
0,39747.76,39145.21,36742.22
0,37950.0,36737.43,35994.98
0,36852.5,35994.98,35828.61
0,37469.83,35824.99,36631.27
0,37850.0,36622.46,35891.49
0,36415.31,35901.94,35468.23
0,35600.0,35468.23,30850.13
0,33826.53,30851.99,32945.17
0,33456.0,32950.0,32078.0
0,33071.0,32078.0,32259.9
0,34875.0,32259.45,32254.2
0,32921.88,32254.19,32467.77
0,32557.29,32464.01,30366.15
0,33783.98,30362.19,33364.86
0,38531.9,33368.18,34252.2
0,34933.0,34246.28,34262.88
0,34342.69,34262.89,33092.98
0,34717.27,33092.97,33526.37
0,35984.33,33517.09,35466.24
0,37662.63,35472.71,37618.87
0,38708.27,37620.26,36936.66
0,38310.12,36936.65,38290.24
0,40955.51,38289.32,39186.94
0,39700.0,39181.01,38795.69
0,46794.45,38795.69,46374.87
0,48142.19,46374.86,46420.42
0,47310.0,46420.42,44807.58
0,48678.9,44807.58,47969.51
0,48985.8,47968.66,47287.6
0,48150.0,47298.15,47153.69
0,49707.43,47156.78,48577.79
0,49010.92,48580.47,47911.1
0,50689.18,47911.1,49133.45
0,52618.74,49133.45,52119.71
0,52530.0,52117.67,51552.6
0,56368.0,51552.61,55906.0
0,57700.46,55906.0,55841.19
0,58352.8,55841.19,57408.57
0,57508.47,57412.35,54087.67
0,54183.59,54087.67,48891.0
0,51374.99,48891.0,49676.2
0,52041.73,49676.21,47073.73
0,48424.11,47073.73,46276.87
0,48394.0,46276.88,46106.43
0,46638.46,46103.67,45135.66
0,49790.0,45134.11,49587.03
0,50200.0,49595.76,48440.65
0,52640.0,48436.61,50349.37
0,51773.88,50349.37,48374.09
0,49448.93,48374.09,48751.71
0,49200.0,48746.81,48882.2
0,51450.03,48882.2,50971.75
0,52402.78,50959.11,52375.17
0,54895.0,52375.18,54884.5
0,57387.69,54874.67,55851.59
0,58150.0,55851.59,57773.16
0,58081.51,57773.15,57221.72
0,61844.0,57221.72,61188.39
0,61724.79,61188.38,58968.31
0,60633.43,58976.08,55605.2
0,56938.29,55605.2,56900.75
0,58974.73,56900.74,58912.97
0,60129.97,58912.97,57648.16
0,59468.0,57641.0,58030.01
0,59880.0,58030.01,58102.28
0,58589.1,58100.02,57351.56
0,58430.73,57351.56,54083.25
0,55830.9,54083.25,54340.89
0,57200.0,54342.8,52303.65
0,53287.0,52303.66,51293.78
0,55073.46,51293.78,55025.59
0,56700.36,55025.59,55817.14
0,56559.75,55817.14,55777.63
0,58405.82,55777.65,57635.47
0,59368.0,57635.46,58746.57
0,59800.0,58746.57,58740.55
0,59490.0,58739.46,58720.44
