,Highest,Open,Close
0,478.01,462.48,476.43
0,477.47,476.42,460.89
0,462.89,460.9,448.08
0,466.0,448.07,460.55
0,484.88,460.51,482.15
0,495.31,482.11,478.41
0,480.75,478.43,471.25
0,514.4,471.26,510.12
0,553.32,510.12,552.35
0,580.88,552.42,560.03
0,610.85,560.03,608.58
0,623.0,608.58,604.97
0,606.0,604.98,569.5
0,577.14,569.38,519.83
0,530.62,519.83,518.68
0,547.94,518.59,537.52
0,576.9,537.5,576.3
0,616.85,576.32,616.66
0,635.7,616.65,585.26
0,604.93,585.26,596.89
0,623.44,596.88,615.85
0,620.0,615.84,567.24
0,597.11,567.24,596.8
0,607.5,596.82,601.54
0,603.15,601.59,591.28
0,595.0,591.27,554.94
0,578.08,554.92,573.09
0,575.7,573.2,558.99
0,560.8,558.99,544.43
0,574.0,544.46,568.04
0,595.0,568.09,590.7
0,591.48,590.81,586.29
0,597.2,586.29,588.64
0,640.0,588.78,637.18
0,676.25,637.18,642.7
0,664.61,642.71,653.85
0,669.95,653.76,658.03
0,661.39,658.05,638.18
0,648.0,638.1,607.58
0,637.73,607.68,636.45
0,638.44,636.41,585.56
0,615.02,585.48,612.31
0,634.24,612.31,626.82
0,652.91,626.78,637.44
0,717.13,637.44,685.11
0,748.09,685.1,730.41
0,740.78,730.4,732.0
0,758.74,732.0,752.17
0,755.74,752.17,736.42
0,749.0,736.42,728.91
0,787.69,728.91,774.56
0,1011.07,774.44,978.28
0,1162.97,978.33,1041.43
0,1134.6,1041.45,1099.56
0,1213.0,1100.16,1208.42
0,1289.0,1208.75,1224.87
0,1273.75,1224.86,1216.93
0,1304.37,1216.72,1276.0
0,1348.33,1276.0,1254.25
0,1260.0,1254.24,1087.01
0,1150.02,1087.0,1050.16
0,1137.65,1050.36,1129.89
0,1247.55,1129.79,1231.62
0,1256.98,1231.89,1168.53
0,1298.0,1168.48,1227.83
0,1269.02,1227.83,1232.45
0,1260.75,1232.5,1258.45
0,1438.3,1258.52,1365.36
0,1407.93,1365.36,1376.99
0,1390.0,1376.72,1110.96
0,1273.79,1111.98,1232.62
0,1272.44,1232.61,1233.6
0,1398.83,1233.46,1392.51
0,1475.0,1392.19,1317.88
0,1378.49,1317.6,1365.97
0,1373.9,1366.54,1239.03
0,1360.0,1238.93,1329.69
0,1436.9,1329.44,1379.5
0,1406.0,1379.56,1378.05
0,1380.74,1378.04,1312.55
0,1377.99,1312.45,1374.17
0,1547.9,1374.09,1511.87
0,1669.35,1511.93,1664.49
0,1695.2,1664.67,1595.67
0,1760.49,1595.53,1719.19
0,1743.67,1718.95,1676.35
0,1693.0,1676.35,1611.62
0,1775.57,1611.46,1750.15
0,1821.88,1749.68,1769.13
0,1837.86,1769.14,1740.78
0,1819.0,1740.76,1785.62
0,1864.88,1785.83,1840.26
0,1871.72,1840.24,1814.96
0,1850.0,1815.25,1800.42
0,1835.72,1800.03,1779.25
0,1827.28,1779.33,1781.99
0,1855.0,1781.99,1849.88
0,1950.5,1849.7,1939.61
0,1972.82,1938.91,1955.0
0,2042.34,1955.46,1913.0
0,1976.31,1912.9,1933.53
0,1936.29,1933.54,1777.58
0,1782.39,1777.42,1577.89
0,1712.7,1577.79,1623.39
0,1671.59,1623.16,1481.75
0,1562.25,1482.08,1444.59
0,1529.0,1444.56,1458.13
0,1468.75,1458.27,1419.18
0,1572.0,1418.67,1569.86
0,1602.9,1570.0,1486.78
0,1656.94,1486.79,1567.69
0,1624.87,1567.68,1539.23
0,1548.96,1539.22,1528.31
0,1671.58,1528.08,1650.35
0,1734.16,1650.68,1726.16
0,1843.59,1726.46,1833.18
0,1870.77,1833.22,1870.51
0,1877.69,1870.5,1795.12
0,1846.7,1795.28,1825.78
0,1841.88,1825.78,1766.1
0,1944.3,1766.13,1922.35
0,1933.1,1922.35,1848.1
0,1891.76,1848.1,1793.48
0,1819.5,1793.99,1805.12
0,1838.88,1805.01,1823.58
0,1850.0,1823.58,1776.08
0,1840.61,1775.92,1809.1
0,1868.83,1809.01,1806.1
0,1817.16,1806.57,1782.98
0,1807.51,1783.23,1680.97
0,1721.17,1681.17,1668.08
0,1740.86,1668.2,1581.84
0,1622.0,1581.88,1585.74
0,1699.93,1585.83,1698.84
0,1732.67,1698.84,1712.63
0,1725.66,1712.52,1687.01
0,1841.0,1687.16,1816.74
0,1859.13,1816.76,1840.46
0,1947.29,1840.41,1919.37
0,1984.77,1919.37,1968.05
0,2146.0,1968.05,2133.69
